,callDateTime,priority,district,description,callNumber,incidentLocation,location
1048508,11/11/2015 19:29,Medium,SW,FAMILY DISTURB,P153152693,1500 N ROSEDALE ST,"(39.3048460,-76.6693330)"
1048509,11/11/2015 19:32,High,NE,ROBBERY UNARMED,P153152694,4900 ERDMAN AV,"(39.3065585,-76.5586509)"
1048510,11/11/2015 19:29,Low,ND,OTHER,P153152695,1400 N EDEN ST,"(39.3063660,-76.5999360)"
1048511,11/11/2015 19:33,Medium,NW,911/NO  VOICE,P153152696,3000 DRUID PARK DR,"(39.3238608,-76.6610767)"
1048512,11/11/2015 19:34,Medium,WD,911/NO  VOICE,P153152697,800 N ARLINGTON AV,"(39.2979694,-76.6358250)"
1048513,11/11/2015 19:27,Non-Emergency,SS,SUPV COMPLAINT,P153152698,5100 DENVIEW WY,"(39.3261940,-76.5344540)"
1048514,11/11/2015 19:35,Low,WD,LARCENCY,P153152699,2600 BLK GWYNNS FALLS PY,"(39.2903848,-76.6121893)"
1048515,11/11/2015 19:34,Medium,CD,911/NO  VOICE,P153152700,1400 N CHARLES ST,"(39.2735450,-76.6143880)"
1048516,11/11/2015 19:35,Medium,CW,Lab Request,P153152701,4100 WEST BAY CT,"(39.2284784,-76.5970327)"
1048517,11/11/2015 19:35,Medium,ND,NARCOTICSOutside,P153152702,2400 LOYOLA NORTHWAY,"(39.3387855,-76.6582939)"
1048518,11/11/2015 19:35,Medium,ND,911/NO  VOICE,P153152703,5200 YORK RD,"(39.3477099,-76.6074868)"
1048519,11/11/2015 19:36,Low,ED,OTHER,P153152704,EASTERN DISTRICT,"(39.309774,-76.573144)"
1048520,11/11/2015 19:32,Medium,NW,COMMON ASSAULT,P153152705,6800 REISTERSTOWN RD,"(39.3595372,-76.7068942)"
1048521,11/11/2015 19:37,Low,ED,OTHER,P153152706,EASTERN DISTRICT,"(39.309774,-76.573144)"
1048522,11/11/2015 23:17,Medium,SD,COMMON ASSAULT,P153153233,2900 MALLVIEW RD,"(39.2534660,-76.6414160)"
1048523,11/11/2015 23:18,Non-Emergency,SE,PRKG COMPLAINT,P153153234,200 S WASHINGTON ST,"(39.2889960,-76.5892760)"
1048524,11/11/2015 23:23,High,SW,Traffic Stop,P153153235,GELSTON DR/MT HOLLY ST,"(39.295535,-76.679873)"
1048525,11/11/2015 23:18,Low,SE,LARCENCY,P153153236,1300 S ELLWOOD AV,"(39.2783657,-76.5728286)"
1048526,11/11/2015 23:20,Non-Emergency,SD,Private Tow,P153153237,100 W HEATH ST,"(39.2705708,-76.6163789)"
1048527,11/11/2015 23:21,Non-Emergency,ND,LOUD MUSIC,P153153238,4700-BL IVANHOE AV,"(,)"
1048528,11/11/2015 23:22,Medium,WD,911/NO  VOICE,P153153239,2000-45 WINCHESTER ST,"(39.3018365,-76.6515506)"
1048529,11/11/2015 23:22,Medium,NE,DISORDERLY,P153153243,ERDMAN AV/E FEDERAL ST,"(39.308967,-76.562127)"
1048530,11/11/2015 23:25,Low,SW,PROT ORDER,P153153244,2100 HOLLINS ST,"(39.2871820,-76.6501580)"
1048531,11/11/2015 23:28,Medium,CW,Lab Request,P153153245,HQH-HOMICIDE,"(39.290571,-76.607676)"
1048532,11/11/2015 23:28,High,ND,Traffic Stop,P153153246,700 E COLD SPRING LN,"(39.3462450,-76.6069020)"
1048533,11/11/2015 23:29,High,NE,Traffic Stop,P153153247,2900 BLK E NORTHERN PY,"(39.2903848,-76.6121893)"
1048534,11/11/2015 23:28,Medium,CD,911/NO  VOICE,P153153248,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
1048535,11/11/2015 23:27,Medium,SD,COMMON ASSAULT,P153153249,1500 LIGHT ST,"(39.2725963,-76.6118951)"
1048536,11/11/2015 23:30,High,NE,Traffic Stop,P153153250,1200 E 25TH ST,"(39.3174220,-76.5973659)"
1048537,11/11/2015 23:27,Medium,ND,DISORDERLY,P153153252,2800 ST PAUL ST,"(39.3220770,-76.6161060)"
1048538,11/11/2015 23:30,Medium,ED,COMMON ASSAULT,P153153253,900 N LAKEWOOD AV,"(39.3013980,-76.5798710)"
1048539,11/11/2015 23:32,Non-Emergency,NE,Repairs/Service,P153153254,100,"(39.3810499,-76.6572571)"
1048540,11/11/2015 23:31,Medium,NE,COMMON ASSAULT,P153153255,4400 WALTHER AV,"(39.3380511,-76.5695576)"
1048541,11/11/2015 23:30,Low,NE,OTHER,P153153256,4400 WALTHER AV,"(39.3380511,-76.5695576)"
1048542,11/11/2015 23:33,High,ND,ROBBERY UNARMED,P153153257,2000 BELAIR RD,"(39.3144031,-76.5822292)"
1048543,11/11/2015 23:33,Medium,NE,COMMON ASSAULT,P153153258,4400 WALTHER AV,"(39.3380511,-76.5695576)"
1048544,11/11/2015 23:33,High,NE,AGGRAV ASSAULT,P153153259,4400 WALTHER AV,"(39.3380511,-76.5695576)"
1048545,11/11/2015 19:44,Medium,SD,911/NO  VOICE,P153152731,100 E WEST ST,"(39.2760218,-76.6121647)"
1048546,11/11/2015 19:44,High,ND,Field Interview,P153152732,2700 GREENMOUNT AV,"(39.3210140,-76.6097430)"
1048547,11/11/2015 19:44,Medium,ND,COMMON ASSAULT,P153152733,GREENMOUNT AV/E 0ND ST,"(39.327191,-76.609417)"
1048548,11/11/2015 19:44,Medium,WD,DISORDERLY,P153152734,REISTERSTOWN RD/GWYNNS FALLS PY,"(39.316791,-76.650609)"
1048549,11/11/2015 19:44,Low,SE,INVESTIGATE,P153152736,1500 ELRINO ST,"(39.2762290,-76.5419660)"
1048550,11/11/2015 19:41,Non-Emergency,ND,ANIMAL DISTURB,P153152737,I 100 TO 28TH ST/W 28TH ST,"(39.318316,-76.627313)"
1048551,11/11/2015 19:45,High,NW,DISCHRG FIREARM,P153152738,REISTERSTOWN RD/W GARRISON AV,"(39.342126,-76.682304)"
1048552,11/11/2015 19:45,Medium,NE,911/NO  VOICE,P153152739,2800 EDISON HY,"(39.3159715,-76.5735213)"
1048553,11/11/2015 19:46,High,NW,DISCHRG FIREARM,P153152740,3700 OAKMONT AV,"(39.3431384,-76.6774566)"
1048554,11/11/2015 19:44,Non-Emergency,NE,30,P153152742,6200 BLK LOCH RAVEN BL,"(39.3690470,-76.5843670)"
1048555,11/11/2015 19:46,High,NW,DISCHRG FIREARM,P153152743,W GARRISON AV/BEAUFORT AV,"(39.345029,-76.677397)"
